,Customer ID,Age,Gender,Marital Status,Income Level,Education,Occupation,Residential Status,Dependents,Debt-to-Income,Credit_Bureau,last_3months_personal_loan_inq,last_3months_credit_card_inq,last_3months_mortgage_inq,last_6months_personal_loan_inq,last_6months_credit_card_inq,last_6months_mortgage_inq
0,926b9acd-fde2-40d7-99b7-f59c10ee22ea,53,Female,Married,Low,High School,"Engineer, control and instrumentation",Living with parents,"(4,)","(0.34,)",775,True,False,False,True,True,True
1,551a2b78-252d-499c-832e-ff67f24acd7b,21,Female,Single,Medium,High School,Marketing executive,Living with parents,"(0,)","(0.17,)",842,True,False,True,True,False,False
2,b7b1a011-d743-4c4e-9338-e745f9d14b3b,51,Male,Single,High,College,Ophthalmologist,Rents,"(4,)","(0.39,)",819,True,True,True,False,True,True
3,9f2597f8-430f-49eb-835a-4059715b5ace,30,Male,Divorced,Low,University,Fast food restaurant manager,Owns house,"(2,)","(0.38,)",760,True,True,True,False,False,True
4,4dce7345-ad7b-4b0c-8be2-3a0287fdd0d8,41,Male,Single,Medium,College,Pensions consultant,Living with parents,"(3,)","(0.17,)",798,False,False,True,False,True,True
5,d26b3606-e792-40db-8151-e5e587d06a05,70,Male,Divorced,Low,High School,Advertising copywriter,Owns house,"(4,)","(0.48,)",779,True,True,True,True,True,False
6,11d1232e-e37b-4623-a598-7b6b569ba0d4,42,Male,Divorced,High,College,Copy,Owns house,"(3,)","(0.32,)",769,True,False,True,True,True,False
7,55a6d739-903f-4824-a4c1-a1b882cc4189,28,Female,Married,Medium,College,Structural engineer,Rents,"(4,)","(0.34,)",798,True,False,False,True,True,True
8,6576e1fe-6d8e-46c7-a33c-7f74de2cc757,60,Male,Married,High,College,"Engineer, structural",Living with parents,"(3,)","(0.12,)",788,False,True,True,True,False,False
9,9330d78e-1050-4929-95d6-6eb589107a88,63,Male,Single,High,College,Agricultural consultant,Rents,"(1,)","(0.1,)",843,True,True,True,False,True,True
10,ec6b3d29-69b9-41ed-ac7b-83485018c622,24,Male,Divorced,Medium,University,Records manager,Living with parents,"(4,)","(0.23,)",830,True,True,False,True,True,False
11,119ca024-021b-4509-bb8a-8e4fb77ac713,68,Male,Single,Low,University,Theatre manager,Rents,"(3,)","(0.18,)",806,True,True,True,True,True,True
12,03ac5340-3ef0-4082-b1f7-71d9df5794a4,22,Female,Married,Medium,High School,"Engineer, drilling",Owns house,"(0,)","(0.39,)",830,False,False,True,False,False,True
13,86552a47-2531-425a-901c-c23992c5e0ad,62,Female,Widowed,Medium,University,Clinical molecular geneticist,Owns house,"(4,)","(0.46,)",778,True,True,False,True,False,False
14,ef8ba7aa-e8d6-4f0f-887b-8d15ce6e880d,54,Female,Single,Medium,College,"Engineer, biomedical",Owns house,"(3,)","(0.12,)",847,False,False,True,True,True,True
15,c5615d8f-ceee-4b60-99cb-f497fcccb572,43,Female,Widowed,Low,University,Accommodation manager,Rents,"(4,)","(0.28,)",784,True,True,False,False,True,True
16,33b881d8-6d88-4deb-9bdc-5c56faf1e582,22,Female,Widowed,Medium,University,Publishing rights manager,Rents,"(1,)","(0.1,)",766,False,True,False,True,False,False
